
> agent-pet-desktop@0.0.1-alpha dev
> node electron/dev.mjs --host 127.0.0.1 --port 5174 --strictPort


  [32m[1mVITE[22m v5.4.21[39m  [2mready in [0m[1m2522[22m[2m[0m ms[22m

  [32m➜[39m  [1mLocal[22m:   [36mhttp://127.0.0.1:[1m5173[22m/[39m

INFO:     127.0.0.1:58560 - "GET /api/health HTTP/1.1" 200 OK
INFO:     127.0.0.1:58561 - "GET /api/health HTTP/1.1" 200 OK
INFO:     127.0.0.1:58562 - "GET /api/tasks HTTP/1.1" 200 OK
INFO:     127.0.0.1:58563 - "GET /api/vaults/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:58561 - "GET /api/settings HTTP/1.1" 200 OK
INFO:     127.0.0.1:58564 - "POST /api/habit-loop/trigger HTTP/1.1" 200 OK
INFO:     127.0.0.1:58562 - "GET /api/settings HTTP/1.1" 200 OK
INFO:     127.0.0.1:58561 - "POST /api/tts/synthesize HTTP/1.1" 200 OK
INFO:     127.0.0.1:58563 - "POST /api/tts/synthesize HTTP/1.1" 200 OK
INFO:     127.0.0.1:58564 - "POST /api/tts/synthesize HTTP/1.1" 200 OK
INFO:     127.0.0.1:58565 - "POST /api/tts/synthesize HTTP/1.1" 200 OK
INFO:     127.0.0.1:58586 - "GET /api/tasks HTTP/1.1" 200 OK
INFO:     127.0.0.1:58592 - "GET /api/tasks HTTP/1.1" 200 OK
INFO:     127.0.0.1:58614 - "GET /api/tasks HTTP/1.1" 200 OK
INFO:     127.0.0.1:58630 - "GET /api/tasks HTTP/1.1" 200 OK
INFO:     127.0.0.1:58650 - "GET /api/tasks HTTP/1.1" 200 OK
INFO:     127.0.0.1:58663 - "GET /api/tasks HTTP/1.1" 200 OK
INFO:     127.0.0.1:58686 - "GET /api/tasks HTTP/1.1" 200 OK
INFO:     127.0.0.1:58697 - "GET /api/tasks HTTP/1.1" 200 OK
INFO:     127.0.0.1:58707 - "GET /api/tasks HTTP/1.1" 200 OK
INFO:     127.0.0.1:58715 - "GET /api/tasks HTTP/1.1" 200 OK
INFO:     127.0.0.1:58730 - "GET /api/tasks HTTP/1.1" 200 OK
INFO:     127.0.0.1:58772 - "GET /api/tasks HTTP/1.1" 200 OK
INFO:     127.0.0.1:58794 - "GET /api/tasks HTTP/1.1" 200 OK
INFO:     127.0.0.1:58828 - "GET /api/tasks HTTP/1.1" 200 OK
INFO:     127.0.0.1:58851 - "GET /api/tasks HTTP/1.1" 200 OK
INFO:     127.0.0.1:58863 - "GET /api/tasks HTTP/1.1" 200 OK
INFO:     127.0.0.1:58873 - "GET /api/tasks HTTP/1.1" 200 OK
INFO:     127.0.0.1:58911 - "GET /api/tasks HTTP/1.1" 200 OK
INFO:     127.0.0.1:58949 - "GET /api/tasks HTTP/1.1" 200 OK
INFO:     127.0.0.1:58967 - "GET /api/tasks HTTP/1.1" 200 OK
INFO:     127.0.0.1:58978 - "GET /api/tasks HTTP/1.1" 200 OK
INFO:     127.0.0.1:58995 - "GET /api/tasks HTTP/1.1" 200 OK
INFO:     127.0.0.1:59023 - "GET /api/tasks HTTP/1.1" 200 OK
INFO:     127.0.0.1:59075 - "GET /api/wiki/query-archives?limit=20 HTTP/1.1" 401 Unauthorized
INFO:     127.0.0.1:59076 - "GET /api/wiki/schema HTTP/1.1" 401 Unauthorized
INFO:     127.0.0.1:59077 - "GET /api/wiki/index HTTP/1.1" 401 Unauthorized
INFO:     127.0.0.1:59078 - "GET /api/wiki/log?limit=20 HTTP/1.1" 401 Unauthorized
INFO:     127.0.0.1:59079 - "GET /api/settings HTTP/1.1" 401 Unauthorized
INFO:     127.0.0.1:59075 - "GET /api/continuity/proposals HTTP/1.1" 401 Unauthorized
INFO:     127.0.0.1:59080 - "GET /api/continuity/state HTTP/1.1" 401 Unauthorized
INFO:     127.0.0.1:59076 - "GET /api/memory/proposals HTTP/1.1" 401 Unauthorized
INFO:     127.0.0.1:59077 - "GET /api/agent/actions?limit=200 HTTP/1.1" 401 Unauthorized
INFO:     127.0.0.1:59136 - "GET /api/tasks HTTP/1.1" 200 OK
INFO:     127.0.0.1:59176 - "GET /api/tasks HTTP/1.1" 200 OK
INFO:     127.0.0.1:59191 - "GET /api/tasks HTTP/1.1" 200 OK
